day.month.year;caudal
01/10/1988;58.102
01/11/1988;51.099
01/12/1988;54.7705
01/01/1989;56.769
01/02/1989;60.5555
01/03/1989;47.6575
01/04/1989;40.82
01/05/1989;40.136
01/06/1989;40.035
01/07/1989;37.285
01/08/1989;35.565
01/09/1989;38.128
01/10/1989;61.561
01/11/1989;97.382
01/12/1989;95.076
01/01/1990;77.66
01/02/1990;55.321
01/03/1990;45.268
01/04/1990;33.924
01/05/1990;33.19
01/06/1990;33.4235
01/07/1990;29.354
01/08/1990;27.248
01/09/1990;38.562
01/10/1990;46.045
01/11/1990;39.561
01/12/1990;28.47
01/01/1991;34.2415
01/02/1991;
01/03/1991;27.561
01/04/1991;25.878
01/05/1991;29.7345
01/06/1991;33.182
01/07/1991;27.569
01/08/1991;29.503
01/09/1991;53.017
01/10/1991;
01/11/1991;108.747
01/12/1991;
01/01/1992;
01/02/1992;98.442
01/03/1992;86.425
01/04/1992;50.823
01/05/1992;54.05
01/06/1992;54.7
01/07/1992;49.745
01/08/1992;
01/09/1992;
01/10/1992;109.233
01/11/1992;102.436
01/12/1992;143.2915
01/01/1993;152.9615
01/02/1993;100.936
01/03/1993;88.435
01/04/1993;54.292
01/05/1993;109.795
01/06/1993;68.943
01/07/1993;43.486
01/08/1993;43.492
01/09/1993;48.735
01/10/1993;65.237
01/11/1993;92.308
01/12/1993;95.938
01/01/1994;77.1155
01/02/1994;54.228
01/03/1994;44.33
01/04/1994;38.507
01/05/1994;31.59
01/06/1994;36.163
01/07/1994;35.57
01/08/1994;42.34
01/09/1994;51.29
01/10/1994;43.44
01/11/1994;63.27
01/12/1994;88.495
01/01/1995;64.1285
01/02/1995;42.6335
01/03/1995;31.04
01/04/1995;29.919
01/05/1995;34.043
01/06/1995;32.197
01/07/1995;32.71
01/08/1995;29.748
01/09/1995;24.639
01/10/1995;29.185
01/11/1995;32.133
01/12/1995;38.4525
01/01/1996;30.4805
01/02/1996;25.1725
01/03/1996;27.85
01/04/1996;20.425
01/05/1996;23.249
01/06/1996;22.572
01/07/1996;24.358
01/08/1996;22.614
01/09/1996;21.098
01/10/1996;17.895
01/11/1996;16.265
01/12/1996;16.7535
01/01/1997;22.4455
01/02/1997;19.9065
01/03/1997;28.276
01/04/1997;17.64
01/05/1997;19.312
01/06/1997;33.232
01/07/1997;28.083
01/08/1997;27.983
01/09/1997;35.165
01/10/1997;102.053
01/11/1997;170.296
01/12/1997;283.2665
01/01/1998;295.477
01/02/1998;128.685
01/03/1998;104.315
01/04/1998;103.274
01/05/1998;78.326
01/06/1998;63.029
01/07/1998;52.149
01/08/1998;46.378
01/09/1998;44.302
01/10/1998;44.686
01/11/1998;38.348
01/12/1998;48.9055
01/01/1999;52.3875
01/02/1999;50.7605
01/03/1999;46.067
01/04/1999;30.003
01/05/1999;34.197
01/06/1999;32.013
01/07/1999;
01/08/1999;
01/09/1999;
01/10/1999;
01/11/1999;76.081
01/12/1999;58.9805
01/01/2000;53.655
01/02/2000;41.6895
01/03/2000;28.457
01/04/2000;27.052
01/05/2000;32.361
01/06/2000;33.128
01/07/2000;31.11
01/08/2000;29.398
01/09/2000;
01/10/2000;
01/11/2000;
01/12/2000;150.0845
01/01/2001;97.1865
01/02/2001;78.144
01/03/2001;58.171
01/04/2001;41.576
01/05/2001;40.662
01/06/2001;40.996
01/07/2001;37.326
01/08/2001;33.64
01/09/2001;35.939
01/10/2001;76.546
01/11/2001;71.883
01/12/2001;125.14
01/01/2002;89.529
01/02/2002;59.6615
01/03/2002;49.818
01/04/2002;39.843
01/05/2002;37.255
